user_name,user_post_url,user_content,user_timestamp,user_replying_to,user_image_alts,user_likes,user_replies,user_reposts,user_shares,brand_reply_url,brand_reply_content,brand_reply_timestamp,brand_replying_to,brand_reply_image_alts,brand_reply_likes,brand_reply_replies,brand_reply_reposts,brand_reply_shares
jintian_nijianfeilema,https://www.threads.com/@jintian_nijianfeilema/post/DXtDkgAEy9q,這啥洨 在宿舍冰箱煉蠱是不是,2026年4月29日 星期三 下午1:33,,"Photo by 黃主廚 on April 28, 2026. May be an image of popcorn, plastic bag and text.",22000,561,370,8236,https://www.threads.com/@bigcity_hsinchu/post/DXtd8NNk4Vg,民間煉的霉，都比實驗室煉出來還強,2026年4月29日 星期三 下午5:24,,,448,1,,1
siaofei0126,https://www.threads.com/@siaofei0126/post/DXkAPGMj3oi,"山下智久
好幸運合照到了‼︎還好有跟媽媽來 1 / 2",2026年4月26日 星期日 上午1:11,,"Photo by 菲 on April 25, 2026. May be an image of carpet and text.",9543,204,78,650,https://www.threads.com/@bigcity_hsinchu/post/DXlP_OJk1cQ,新竹十八尖山下智久￼來朝聖,2026年4月26日 星期日 下午12:48,,,116,,,
ieso_no_gold_nzmb23_rockuo.18,https://www.threads.com/@ieso_no_gold_nzmb23_rockuo.18/post/DXirnNJCVzS,@bigcity_hsinchu 小編可以在我畢業當天祝我畢業快樂嗎？,2026年4月25日 星期六 下午12:52,@bigcity_hsinchu,"Photo by 郭旻宗 on April 24, 2026. May be an image of signboard, buildings and text that says 'BigCity 熱烈歡迎 雄中戶外教學 B線同學 路過巨城吃晚餐'.",141,1,,4,https://www.threads.com/@bigcity_hsinchu/post/DXjDtOhk1bx,好咧,2026年4月25日 星期六 下午4:22,,,6,1,,
withelysia365,https://www.threads.com/@withelysia365/post/DXiYN4GE5gF,統測不會考那麼難單字吧😂,2026年4月25日 星期六 上午10:02,@bigcity_hsinchu,,95,1,,3,https://www.threads.com/@bigcity_hsinchu/post/DXiuryYk61F,哪一天就考你火山矽肺症,2026年4月25日 星期六 下午1:18,,,74,1,1,
_yu_630,https://www.threads.com/@_yu_630/post/DXiiWIjGmsU,"問脆友就對了
想問各位脆友 新竹巨城的酷聖石冰淇淋整修好了嗎？什麼時候會開始營業 順便@小編 @bigcity_hsinchu",2026年4月25日 星期六 上午11:31,,,7,1,,,https://www.threads.com/@bigcity_hsinchu/post/DXiuj_8EyY3,好了,2026年4月25日 星期六 下午1:17,,,8,,,
zhan_qin_xiang,https://www.threads.com/@zhan_qin_xiang/post/DXgkYEzE42I,"巨城
巨城真的很貼心🥹 暈爛",2026年4月24日 星期五 下午5:10,,"Photo by XIANG on April 24, 2026. May be an image of plastic bag, umbrella, hallway and text.",2004,12,,9,https://www.threads.com/@bigcity_hsinchu/post/DXhZ0FPE6cY,其實我還會放歌提醒大家,2026年4月25日 星期六 上午12:57,,,1511,8,1,7
yifz_,https://www.threads.com/@yifz_/post/DXeqKrej2XG,新竹人緊張時刻 ：朋友說要來新竹找你吃飯 1 / 3,2026年4月23日 星期四 下午11:22,,,9394,377,515,2047,https://www.threads.com/@bigcity_hsinchu/post/DXgEfQGk-ag,不都是帶去巨城就解決了嗎,2026年4月24日 星期五 下午12:31,,,165,2,,4
yilan_style2026,https://www.threads.com/@yilan_style2026/post/DXdm03zjyUh,第一張照片，腦子馬上浮現 第一憨，種甘蔗乎會社磅,2026年4月23日 星期四 下午1:34,@bigcity_hsinchu,,29,1,,1,https://www.threads.com/@bigcity_hsinchu/post/DXdper6ExvJ,完蛋，我聽不懂了🥹 翻譯,2026年4月23日 星期四 下午1:57,,,1,2,,
thuglife_1298,https://www.threads.com/@thuglife_1298/post/DXYaSRHEWFp,"昨晚決定把我媽的candy crush刪了 我媽痛哭 但希望這決定是對的 希望他找回對所有事物學習的熱情
希望還來得及",2026年4月21日 星期二 下午1:08,,,65000,375,1394,4750,https://www.threads.com/@bigcity_hsinchu/post/DXY-p8Zk3Fa,"你看隔壁的秀琴，都在學投資了 你還在candy crush？
手機先放我這裡，等你這次考績拿優等，我假日再開你玩。",2026年4月21日 星期二 下午6:26,,,4119,,3,94
joee0930,https://www.threads.com/@joee0930/post/DXUTSeSkpOF,"戰鬥陀螺X
朋友說想打陀螺，今天帶戰鬥盤去巨城玩（羞恥
之後有個有禮貌的弟弟問說能不能一起玩，我們就讓他一起打。 因為弟弟很乖也很有禮貌，我把我的通行證給弟弟看轉速。（手機被硬控快1小時😆 弟弟要回家時候還特地跟我們說，謝謝你們跟我玩陀螺，今天很開心。
現在交的朋友年紀越來越小了😆",2026年4月19日 星期日 下午10:50,,,1555,21,1,10,https://www.threads.com/@bigcity_hsinchu/post/DXV_P24kynD,我這裡真的是新竹人的里民中心欸,2026年4月20日 星期一 下午2:33,,,117,1,,1
