user_name,user_post_url,user_content,user_timestamp,user_replying_to,user_image_alts,user_likes,user_replies,user_reposts,user_shares,brand_reply_url,brand_reply_content,brand_reply_timestamp,brand_replying_to,brand_reply_image_alts,brand_reply_likes,brand_reply_replies,brand_reply_reposts,brand_reply_shares
sophia_hsiao00324,https://www.threads.com/@sophia_hsiao00324/post/DXvOIfKk__l,這樣讓我不讀都不行了！好有趣！,2026年4月30日 星期四 上午9:44,@bookstw,,3,1,,,https://www.threads.com/@bookstw/post/DXvSFAems8s,"要🙂‍↔️👇🍉 bookstw.link/8zhjm…
books.com.tw
賣瓜的人【文壇年度耀眼新星】",2026年4月30日 星期四 上午10:19,,賣瓜的人【文壇年度耀眼新星】,1,,,
xaxa_reading,https://www.threads.com/@xaxa_reading/post/DXvMwORAX-o,素玉之子🤝🤣,2026年4月30日 星期四 上午9:32,@bookstw,,,1,,,https://www.threads.com/@bookstw/post/DXvNGrggbdh,薯條🤝三位素玉準備組Ｓ.Ｈ.Ｅ（沒有任何一位素玉答應）,2026年4月30日 星期四 上午9:35,,,2,,,
xaxa_reading,https://www.threads.com/@bookstw/post/DXt8NQIGpH9,"15小時
我真的是要發瘋，因為我媽也叫素玉🤣（突然出賣媽媽
bookstw",2026年4月29日 星期三 下午9:48,,,26,4,1,2,https://www.threads.com/@bookstw/post/DXvK4UYAXd6,！！！！？發芬,2026年4月30日 星期四 上午9:16,,,16,2,,
good.morning.my.dear.friend,https://www.threads.com/@good.morning.my.dear.friend/post/DXuKM53jzXC,衣服真的很好看欸,2026年4月29日 星期三 下午11:50,@bookstw,,3,1,,,https://www.threads.com/@bookstw/post/DXvK1i4AdAg,真ㄉ🌹有品味ㄉ人都會有有品味ㄉ衣🪷,2026年4月30日 星期四 上午9:15,,,1,,,
thiloliu,https://www.threads.com/@thiloliu/post/DXuEJuHCJFB,有出電子書嗎,2026年4月29日 星期三 下午10:58,@bookstw,,3,2,,,https://www.threads.com/@bookstw/post/DXvClHUgXTJ,電子書5/1開賣喔！ 還有收錄傑尼跟素玉的小對談🤩,2026年4月30日 星期四 上午8:03,,,3,,,
chicagocubs777,https://www.threads.com/@chicagocubs777/post/DXt-SHElAZ_,我知道博小編妳等這一天等很久了，絕對很爽吧？,2026年4月29日 星期三 下午10:06,@bookstw,,,1,,,https://www.threads.com/@bookstw/post/DXt_03CAQYo,"超爽！ 沒想到能等到傑尼寶貝的ISBN碼誕生！太爽了！ ➡️ bookstw.link/8zhjh…
books.com.tw
賣瓜的人【文壇年度耀眼新星】（限量親簽版）",2026年4月29日 星期三 下午10:20,,賣瓜的人【文壇年度耀眼新星】（限量親簽版）,3,,,
ytw_04,https://www.threads.com/@ytw_04/post/DXd_xECDTbz,"1天
雖然博客來小編很可愛，但網站用戶體驗真的極差😖 因Email驗證有bug跟客服聯繫，填好敘述並附上截圖檔後，點選下一步竟然跳出「系統忙碌中」的視窗？？？ 原來的bug還在，然後開一張bug ticket還這麼困難，IT部門到底在幹嘛🥲",2026年4月23日 星期四 下午5:11,@bookstw,"Photo by Yuting on April 28, 2026. May be an image of text. | Photo by Yuting on April 23, 2026. May be an image of ticket stub and text that says 'Email信籍驗證Emailerfication Email信箱驗證 Email verification Email 重新發送驗證碼2 21423 Resend verification Resendverlfication.code(sec) code (sec) 請留意驗證信是否被歸類於垃圾郵件 請留這技體信是否被解類於垃圾那件如果在0後仍来收容 如果在60秒後仍未收到 驗證碼， 請您點選重新發送 Please check your spam folder for Plesoekstettte the verification email. If you haven't received the verification code after 60 seconds, please click on 'Resend'. Email驗證碼 Emaill 驗證碼 Email Verification Code 請確認網頁識別碼為 TMMC 有效期限 2026/04/23 16:42:38 Please Fleas.cofimtiewebaede confirm the webpage identifier as: TMMC Expiration date: 2026/04/23 Expirationdale:2026/4/2316423 16:42:38. 取消 Cancel'.",3,2,,1,https://www.threads.com/@bookstw/post/DXtM3H9mp0m,"您好，博小編稍早有轉達給相關單位，也請同仁測試過可以正常發信，如果仍然沒辦法寄出，建議可以透過電話客服／線上文字客服 詢問喔～
【客戶服務專線】：02-26535588 【線上文字服務】：請於服務時間到臉書私訊，點選『轉真人客服』按鈕，待成功轉接後將由真人客服為您服務。 ◆ 服務時間說明如下： 電話／文字客服（真人)：週一至週五 09:00～18:00（國定假日除外）",2026年4月29日 星期三 下午2:54,,,10,,,
abby255689,https://www.threads.com/@abby255689/post/DXrbVmNmqp9,終於等到秀鳳阿姨直播了,2026年4月28日 星期二 下午10:22,@bookstw,,1,1,,,https://www.threads.com/@bookstw/post/DXrcH8hmpRA,等待⏰ 一切 都“值得]!!🌹🫰,2026年4月28日 星期二 下午10:29,,,1,,,
monstarbaby,https://www.threads.com/@monstarbaby/post/DXrbHGmCbRe,請原地出道🫶🫶🫶,2026年4月28日 星期二 下午10:21,@bookstw,,,1,,,https://www.threads.com/@bookstw/post/DXrb9avGtAY,哈😆秀鳳阿 姨 ‘‘遲暮之年” {大器晚成[🪷🌹,2026年4月28日 星期二 下午10:28,,,1,,,
hahatai_official,https://www.threads.com/@hahatai_official/post/DXrMWYJkkil,"賣瓜的人
各位！傑尼 / 洪倪 @janiwants543 出新書《賣瓜的人》了！請大家買爆讓傑尼十刷一百刷！
IG 貼文會送兩本傑尼的親筆簽名新書，還會有一小小小段傑尼的話！🐟 1 / 3
hahatai_official",2026年4月28日 星期二 下午8:12,,,227,5,4,7,https://www.threads.com/@bookstw/post/DXrbfwGmjOC,"蛤！！！出書！！？？！ ⬇️是在說這本嗎？？？？？？！！！ 《賣瓜的人》bookstw.link/8z3ja… ⬆️該不會是在說這個吧？！？？？！ 封面很好看的這本嗎？ 內容也好看的這本嗎？
books.com.tw
賣瓜的人【文壇年度耀眼新星】（限量親簽版）",2026年4月28日 星期二 下午10:24,,賣瓜的人【文壇年度耀眼新星】（限量親簽版）,29,,,
