user_name,user_post_url,user_content,user_timestamp,user_replying_to,user_image_alts,user_likes,user_replies,user_reposts,user_shares,brand_reply_url,brand_reply_content,brand_reply_timestamp,brand_replying_to,brand_reply_image_alts,brand_reply_likes,brand_reply_replies,brand_reply_reposts,brand_reply_shares
wei__alice__,https://www.threads.com/@wei__alice__/post/DXsm4hzk7D6,"STRAY KIDS
Stray Kids x Pepero
今年也續約全球大使了✨
去年的營業額成長了25% 真的是不能小看Stay們的威力
報導中甚至提到了台灣💗 新的一年也會準備更多的活動🔔
- 《部分節錄》
特別是在台灣通路中，家樂福販售的Stray Kids包裝，在短短一週內就全部售罄；而7-11通路則創下線上預購開放僅 7 分鐘就完售的紀錄。
Lotte Wellfood 表示，今年也將繼續與Stray Kids攜手，展開更強力的Pepero全球行銷活動。 除了持續深耕已經建立代表性K-零食品牌地位的美洲與東南亞市場外，也計劃積極開拓印度、歐洲、中國等新興市場，進一步加速整體業績成長。 1 / 2",2026年4月29日 星期三 上午9:23,,"Photo by Wei Alice on April 28, 2026. May be an image of one or more people, bangs and text that says 'PEPERO PEPERO nors'. | Photo by Wei Alice on April 28, 2026. May be an image of text that says '특히. 대만 까르푸 채널에서는 스트레이 키즈 온 팩 패키지가 일주일 만에 물량이 모두 소진되 고, 세븐일레븐 채널에서는 온라인 사전판매가 픈 7분 만에 마감되는 기록을 세우기도 했다. 롯데웰푸드는 올해도 스트레이 키즈와 함께 더욱 강력한 빼빼로 글로벌 마케팅 캠페인을 전개할 계 획이다. 특히 대표 K-스낵 브랜드로 입지를 다진 미주와 동남아 시장을 지속 공략하는 동시에 인 도, 유럽, 중국 등 신흥 시장 개척을 통해 외형 성 장에 더욱 박차를 가한다는 방침이다.'.",1072,25,49,128,https://www.threads.com/@carrefourtaiwan/post/DXtidcZk9h7,阿福可以 STAY with Pepero了🥰,2026年4月29日 星期三 下午6:03,,,37,1,,1
kelvin_789732,https://www.threads.com/@kelvin_789732/post/DXb_VYvk9Bj,這樣就不怕吵到鄰居啦 1 / 2,2026年4月22日 星期三 下午10:29,,"Photo by Kevin on April 22, 2026. May be an image of text.",26000,191,715,4841,https://www.threads.com/@carrefourtaiwan/post/DXeY-__E_1f,用這個肯定可以把牌洗乾淨,2026年4月23日 星期四 下午8:52,,"Photo by 家樂福 | Carrefour on April 23, 2026. May be an image of ‎text that says '‎100 1０0m準号 n速油力 白蘭 白 El 白蘭新動力配方洗碗精 清新 檸檬-2.8kg 檸檬- 贈$200 $195 $169 جا‎'‎.",38,1,,2
kaostanley1245,https://www.threads.com/@kaostanley1245/post/DMmxe-bIyA1,"一天一個稀有日本姓氏
一天一個稀有日本姓氏 Day305 【蛤】 讀音：はまぐり、こう 人數：約30人",2025年7月27日 星期日 下午5:14,,"Photo by Kaochi817 on July 27, 2025.",15000,223,994,3386,https://www.threads.com/@carrefourtaiwan/post/DXWSvgtk_Kv,蛤？,2026年4月20日 星期一 下午5:23,,"Photo by 家樂福 | Carrefour on April 20, 2026. May be an image of text.",120,,,4
zh0r4_,https://www.threads.com/@zh0r4_/post/DXFHWugCam_,POV：2050年最環保的賽車比賽 1 / 2,2026年4月14日 星期二 上午1:17,,,3012,59,93,783,https://www.threads.com/@carrefourtaiwan/post/DXJTo00k458,記得進站換胎,2026年4月15日 星期三 下午4:21,,"Photo by 家樂福 | Carrefour on April 15, 2026. May be an image of sneakers, sports equipment and text that says 'NMLC fr GOODYEAR GOODYEAR男避震越野慢跑 鞋一灰29 專館 館（800免基本運費） (800 $1390 $1,198'.",32,1,,1
sk_.0625,https://www.threads.com/@sk_.0625/post/DW3er8dkW-P,致月老： 我的紅線不是你的牙線 可以不要給我髒東西嗎,2026年4月8日 星期三 下午6:11,,,16000,149,1043,1854,https://www.threads.com/@carrefourtaiwan/post/DW8iUCPk-U9,來條姻緣線吧 用聽的比較清楚,2026年4月10日 星期五 下午5:19,,"Photo by 家樂福 | Carrefour on April 10, 2026. May be an image of ‎text that says '‎E-books E-books X42 E-booksX42AUX音源 AUX音源 線-100cm cm 線- 100 滿額贈 滿額贈贈$200 贈$200 $129 $99 جا‎'‎.",28,1,,2
yezi._0529,https://www.threads.com/@yezi._0529/post/DW3evmCgfZN,我這個到底算什麼眼皮 1 / 2,2026年4月8日 星期三 下午6:12,,"Photo by 夜梓 on April 08, 2026. May be a closeup of one or more people, bangs and text.",26000,996,155,1608,https://www.threads.com/@carrefourtaiwan/post/DW8iQx5E8qL,任何人都能在脆上發文 包含千層鬆塔,2026年4月10日 星期五 下午5:19,,"Photo by 家樂福 | Carrefour on April 10, 2026. May be an image of wafer, pie and text.",85,,,2
chen_dream17,https://www.threads.com/@chen_dream17/post/DW1j2HUknmH,『今日辯題』 “釋懷是成熟還是無奈”,2026年4月8日 星期三 上午12:18,,,9909,208,694,583,https://www.threads.com/@carrefourtaiwan/post/DW3N5Ppk8dt,釋懷不一定要等成熟 但釋迦一定要等成熟🥵,2026年4月8日 星期三 下午3:45,,"Photo by 家樂福 | Carrefour on April 08, 2026. May be an image of sugar-apple and text that says 'SELTECO 臺東履歷鳳梨釋迦（每盒然 每盒約1.1 公斤/2入） 贈$200 $209'.",253,1,5,10
hzxinny,https://www.threads.com/@hzxinny/post/DW1fUAzga5g,給你們看看我的雷霆作文 1 / 2,2026年4月7日 星期二 下午11:38,,"Photo by @hzxinny on April 07, 2026. May be an image of blueprint, calendar, crossword puzzle and text that says '脊 像 今 天 po 仰 的 像 眼 尺 住 認 亮 战 필 的 成 不 善 於 聲 經 也 還 大 과] 的 迷 等 大 型 麺 獻 應 到 是 ង 覺 得 伦 話 說 新 就 3 頓 伴 時 麽 他 沉 且 許 ES 在 地 打 那 I 你 待 明 澳 媽品 的 發 那 但 都 別 媽 媽 當 都 然 說 如 走 果 丟 ब 應 以 該 待 在 原 也 炭 記 為 萬 步 的 辦 想 和 的 眼'.",110000,3054,15000,80000,https://www.threads.com/@carrefourtaiwan/post/DW3NsSWk_jL,,2026年4月8日 星期三 下午3:43,,"Photo by 家樂福 | Carrefour on April 08, 2026. May be an image of alcohol, soy sauce, condiment, bottle and text that says '( 走 丟 了 好 好 的 ١/ 皆 該 祥 ማ 生 MIET + 你 9 牛 在 就 頓 說 仮 神 什 9 9 愛 底他元因 電 蘋 底 他 沉 因 果 शा 樹 上 打 發 到 明 頭 美粒果零加糖蘋果蘇打 1250ml 燈 而 媽藝有的發 妹 的 發 I--RR 二 開 號 混 泥 メ 1 初 포'.",11000,13,68,386
m1lliy_,https://www.threads.com/@m1lliy_/post/DWdWN6Xk6gY,出淤泥而全身塗抹均勻,2026年3月29日 星期日 下午2:37,,,150000,4108,19000,43000,https://www.threads.com/@carrefourtaiwan/post/DWgKe3lk7jl,山窮水盡疑無路，三重也有家樂福,2026年3月30日 星期一 下午4:52,,,79,1,1,4
husk.7748,https://www.threads.com/@husk.7748/post/DWRSKcOj6wF,"你們來回答
青春沒有售價，__ __ __ __ __ __ __ 1 / 2",2026年3月24日 星期二 下午10:11,,,33000,3890,646,2628,https://www.threads.com/@carrefourtaiwan/post/DWafzDpky1P,青春沒有售價，下週要放連假,2026年3月28日 星期六 下午12:03,,,3411,9,41,57
hcy_03_17,https://www.threads.com/@hcy_03_17/post/DWN7o7jgVvD,統一布丁的演化 1 / 2,2026年3月23日 星期一 下午2:56,,"Photo by 丞佑™🏷 on March 22, 2026. May be a doodle of cake, pie, bread and text that says '布布 布 布 布丁 T™ JT I T 丁布 存丁希 布 丁布丁'.",57000,232,778,1574,https://www.threads.com/@carrefourtaiwan/post/DWOWv-6kxcm,在這邊放一顆統一布丁 ​ ​ ​ ​ ​ 🤎🤎🤎 ​ ​ 💛💛💛💛 💛💛💛💛💛,2026年3月23日 星期一 下午6:53,,,1268,3,2,4
huacihe,https://www.threads.com/@huacihe/post/DV8BilZARxt,整理相簿找到一堆奇怪的圖,2026年3月16日 星期一 下午4:01,,"Photo by 何花慈 on March 16, 2026. May be an image of drink and text that says '1/7 外帶539 你不要）泰草粿 泰草粿 你不要 台灣甜 春夏秋冬總店 春夏秋冬總店 4/1611:4 70見日811 11:42 4/16 $70 遇見真愛擁抱現在'. | Photo by 何花慈 on March 16, 2026. May be an image of wrist watch, timer and text that says '摸蜕仔兼 50 1. 10 แะธง G AO 20 00 SEIKO SINCE1881 SINGE 1881'. | Photo by 何花慈 on March 16, 2026. May be an image of cash machine, printer, stapler and text that says '你邊前 進南 你 這樣對我'. | Photo by 何花慈 on March 16, 2026. May be an image of text that says 'Su Leni Su uLeni Leni 了世界又如何'. | Photo by 何花慈 on March 16, 2026. May be an image of text that says '你晚餐會回來吃嗎 5:09 Μ 88 Read 5:09 5:09PM e..會啊 PM 會啊 Read 5:09 5:09 PM 有買的話記得幫我 s ( 員 候 選 劉 Α 人 民 雄 早宜 宜 懇 新 港 奮 我奮果 一的 請 支 持 Read 5:09 5:09PM PM'. | Photo by 何花慈 on March 16, 2026. May be an image of one or more people, newspaper and text. | Photo by 何花慈 on March 16, 2026. May be an image of text. | Photo by 何花慈 on March 16, 2026. May be a meme of one or more people, magazine and text that says 'wtfyou7788_2meme 88_2meme … SILS SCHWARTZ LEVINE SCHWARTZLEVINESTARKPLLC STARKPLLC PLLC STARK 哪壺不開 TINA TINAHU HU'. | Photo by 何花慈 on March 16, 2026. May be a meme of newspaper, magazine and text that says 'ኤራ 和 平 防 認 担 手 I 改 き 造 訊息都不回 你現在是把我當 陳素婚 陳 了嗎？'. | Photo by 何花慈 on March 16, 2026. May be an image of one or more people, signboard, poster, banner and text that says '基隆市仁工 你這個 駱智仁 基隆市 筆市仁愛區市議員候選人 仁愛區 市議員候選人 懇請支持 持 via viaMr.Plurk Mr Plurk 二五路 菜'. | Photo by 何花慈 on March 16, 2026. May be an image of suit and text that says '讓我 Johnny Shin 裏我JohnnyShin兒 兒摘下 Managing ManagingDirector Director'. | Photo by 何花慈 on March 16, 2026. May be an image of text that says '高南林景德 大席指業 林景德夏天 林 林景德 夏天 天空中繁星點點 繁星點'. | Photo by 何花慈 on March 16, 2026. May be an image of text that says '駕駛員 當 當 宜鎮峰 吹來 風箏飛向天空 爲了你 而祈禱 而祝福 而祈禱而祝福而感動加手。 而感動 福而感動加 口月♪ @ktgn556412 J@fw.520.1314'. | Photo by 何花慈 on March 16, 2026. May be an image of signboard, buildings and text. | Photo by 何花慈 on March 16, 2026. May be an image of water heater, thermostat, clothes hanger and text that says '推しの子+Oshinoko|我推的孩子 推しの子Oshinoko Oshinoko 推しの子 我推的孩子， 加入 ZhiChenLin·1 Zhi Chen ChenLin Lin 1天 正要走出辦公室的我 正要走出辦公室的我突然一陣胃痛 突然一陣胃痛 馬的誰做的啦？？？ 推 猫しの予 PUSH PUSH しの予 讚 留 留言 分享'.",74000,946,6778,46000,https://www.threads.com/@carrefourtaiwan/post/DV-2wjykwRD,ONCE一定懂,2026年3月17日 星期二 下午6:25,,"Photo by 家樂福 | Carrefour on March 17, 2026. May be an image of footstool, step stool, armchair, chair and text that says 'AA THIS 【椅子】 椅奇子】大四方椅 FOR5x47.5cm 5x47.5cm FOR'.",80,,1,1
bodysport168,https://www.threads.com/@bodysport168/post/DV8VFzogEwi,我說那天麵包怎麼一股柯基味 1 / 2,2026年3月16日 星期一 下午6:53,,,66000,330,2245,36000,https://www.threads.com/@carrefourtaiwan/post/DV-2qRBk3wN,柯基屁屁 要吃,2026年3月17日 星期二 下午6:24,,"Photo by 家樂福 | Carrefour on March 17, 2026. May be an image of buns and text that says '【限當日出爐】 限當日出爐】透明餐包6入 透明餐包6入 ※因配送關係實際到貨效期... 限店取 $58'.",113,,1,3
not_your_business8888888,https://www.threads.com/@not_your_business8888888/post/DVq6QaAjzr_,說Jennie這件外套很像辛拉麵 結果真的沒有違和感...,2026年3月10日 星期二 上午12:31,,"Photo by ^_^ on March 09, 2026. May be an image of overcoat, dress and text. | Photo by ^_^ on March 09, 2026. May be an image of one or more people, overcoat, dress and text.",50000,200,795,9629,https://www.threads.com/@carrefourtaiwan/post/DVsKI7qk5qj,Like Jennie 翻譯,2026年3月10日 星期二 下午12:09,,"Photo by 家樂福 | Carrefour on March 09, 2026. May be an image of gingerbread cookie, measuring stick, sweater, snowman, mouse pad, clipboard, poster and text.",3424,6,16,89
elta_sports,https://www.threads.com/@elta_sports/post/DVnPWsdElWB,"中華隊
台灣英雄🇹🇼🇹🇼🇹🇼 你們真的好棒!!!!!!!! 打出一場振奮人心比賽👏🏻",2026年3月8日 星期日 下午2:18,,,11000,66,379,84,https://www.threads.com/@carrefourtaiwan/post/DVnTF4XkzoF,阿福幫大家喊話請馬拉松重播🥹謝謝,2026年3月8日 星期日 下午2:51,,,23,,,
carrefourws,https://www.threads.com/@carrefourws/post/DVfhpGHkaVz,"特賣會
專櫃香水搶先公布❗️ 貨量比去年多了2倍❗️ 🔴滿888還送現金折價券100元❗️今天晚上六點開始❗️ 去年大爆滿！今天不要再錯過了 而且今年更優惠❗️
6折起!🌸『春季彩妝 獨家特賣會』 AESOP、BYREDO、DIPTYQUE、LA MER、Dior、Channel等專櫃品牌、Oliveyoung 熱門排行榜美妝 通通有！限量特價，先搶先贏！
📍 地點｜家樂福文心店 3F賣場 🗓 時間 3/5(四) - 3/8(日) 3/5 18:00-22:00 3/6-7 12:00-22:00 3/8 12:00-21:00
✨ 滿額活動將陸續公布 驚喜送不停 ✨ ALaSo把百貨專櫃級美妝保養通通搬進文心店! 全場超值優惠、人氣熱賣品一應俱全，想變美，不用等出國 不用等週年慶！",2026年3月5日 星期四 下午2:24,,"Photo by 家樂福文心店 on March 04, 2026. May be an image of fragrance, bar soap, carton, hand cream, perfume, box and text. | Photo by 家樂福文心店 on March 04, 2026. May be an image of fragrance, carton, perfume and text. | Photo by 家樂福文心店 on March 04, 2026. May be an image of newsstand and text. | Photo by 家樂福文心店 on March 04, 2026. May be an image of binder and text. | Photo by 家樂福文心店 on March 04, 2026. May be an image of fragrance, carton, perfume, box and text. | Photo by 家樂福文心店 on March 04, 2026. May be an illustration of text. | Photo by 家樂福文心店 on March 04, 2026. May be an image of fragrance, hand cream, cosmetics, perfume and text. | Photo by 家樂福文心店 on March 04, 2026. May be an image of fragrance, cosmetics, perfume and text. | Photo by 家樂福文心店 on March 04, 2026. May be an image of fragrance, bar soap, soap, hand cream, perfume and text. | Photo by 家樂福文心店 on March 04, 2026. May be an image of fragrance, hand cream and text. | Photo by 家樂福文心店 on March 04, 2026. May be an image of polaroid, fragrance, perfume, hand cream and text. | Photo by 家樂福文心店 on March 04, 2026. May be an image of fragrance, perfume and text.",280,16,12,1649,https://www.threads.com/@carrefourtaiwan/post/DVflMEiEzcZ,留福友看！,2026年3月5日 星期四 下午2:55,,,5,1,,
thea0615951230,https://www.threads.com/@thea0615951230/post/DVaJxG7ElrP,芋泥湯圓😗,2026年3月3日 星期二 下午12:19,@carrefourtaiwan,,1,1,,,https://www.threads.com/@carrefourtaiwan/post/DVafXwuE4FX,新口味小編也想吃,2026年3月3日 星期二 下午3:28,,,1,,,
amy.liuxin2.0,https://www.threads.com/@amy.liuxin2.0/post/DVaS9jik3qv,都沒有要按什麼 🤣,2026年3月3日 星期二 下午1:39,@carrefourtaiwan,,,1,,,https://www.threads.com/@carrefourtaiwan/post/DVafSrsk3mt,按我追蹤🤣,2026年3月3日 星期二 下午3:27,,,1,,,
cynthia_c._huang_,https://www.threads.com/@cynthia_c._huang_/post/DUXwkt9iRik,大家好，我是番茄醬，今天第一次到脆，請問有導游嗎,2026年2月5日 星期四 下午5:29,,,225,86,3,6,https://www.threads.com/@carrefourtaiwan/post/DUalOw0ExXo,請問你是想問導遊嗎,2026年2月6日 星期五 下午7:48,,"Photo by 家樂福 | Carrefour on February 06, 2026. May be an image of condiment, soy sauce, olive oil and bottle.",25,1,,1
yong._zheng,https://www.threads.com/@yong._zheng/post/DUYqHZUE5Gd,大家好，我是康熙皇帝，現在正式登入脆。請問有奏摺嗎？ 1 / 2,2026年2月6日 星期五 上午1:52,,,10000,1688,174,1073,https://www.threads.com/@carrefourtaiwan/post/DUaANfaE6fm,皺摺都已經燙平了,2026年2月6日 星期五 下午2:24,,"Photo by 家樂福 | Carrefour on February 05, 2026. May be an image of shaver, thermometer, thermostat and socket.",610,5,2,12
iamteresa0424,https://www.threads.com/@iamteresa0424/post/DUIP7vJiYFw,"家樂福
家樂福開賣「巨無霸蠟筆小新存錢筒」！！！ 可愛死了啦😍😍😍😍
把錢拿出來的時候，小新會斷頭…￼有點殘忍 1/2",2026年1月30日 星期五 下午4:55,,"Photo by 大食女｜台北美食 超商美食｜Ya Tien on January 30, 2026.",264,20,4,423,https://www.threads.com/@carrefourtaiwan/post/DUIcOCFEwpT,趁週末9折再用uniopen聯名卡結帳最划算😍,2026年1月30日 星期五 下午6:43,,"Photo by 家樂福 | Carrefour on January 30, 2026.",10,1,,5
guo_dingyu,https://www.threads.com/@guo_dingyu/post/DT-11qOE5h9,"停車格
在新竹看到的停車格，這是能停什麼啦？貢丸喔？ 1/2",2026年1月27日 星期二 上午1:14,,"Photo by 饅頭 on January 26, 2026.",80000,1633,2076,18000,https://www.threads.com/@carrefourtaiwan/post/DUF_73lk5um,"那有什麼問題
（溫馨提醒掉到地板上的東西不要吃",2026年1月29日 星期四 下午7:57,,"Photo by 家樂福 | Carrefour on January 29, 2026.",4126,46,17,440
yuchi__1231,https://www.threads.com/@yuchi__1231/post/DUDah5NE0TN,哪個有才的臺灣粉絲送佳德鳳梨酥給黃寅燁⋯⋯有夠讚（本人還有拿著拍哈哈哈）,2026年1月28日 星期三 下午7:52,,"Photo by Jacky Chen on January 28, 2026. | Photo by Jacky Chen on January 28, 2026.",22000,54,331,514,https://www.threads.com/@carrefourtaiwan/post/DUFs_yakx7t,希望歐巴喜歡～,2026年1月29日 星期四 下午5:11,,"Photo by 家樂福 | Carrefour on January 29, 2026.",18,,,1
mi20130901,https://www.threads.com/@mi20130901/post/DUEEsz3k91a,好喜歡平日逛家樂福 人少又好逛 過年禮盒還超多🤣 買了一堆零食回家～～,2026年1月29日 星期四 上午2:00,,"Photo by 瑀文 Lisa on January 28, 2026. | Photo by 瑀文 Lisa on January 28, 2026.",18,2,,1,https://www.threads.com/@carrefourtaiwan/post/DUFs-mWE2yp,我也喜歡妳來逛,2026年1月29日 星期四 下午5:11,,,3,,,
junyou__wu,https://www.threads.com/@junyou__wu/post/DUCE7Ufk0L2,養身小技巧你記住了嗎？,2026年1月28日 星期三 上午7:24,,,37000,1157,1578,14000,https://www.threads.com/@carrefourtaiwan/post/DUFrcnPE1Zq,我是家樂福，回到家 就回到幸福的圓點🎶,2026年1月29日 星期四 下午4:58,,,32,,,
captain.lu,https://www.threads.com/@captain.lu/post/DUFfJatkdGD,不要再打字了 字很痛,2026年1月29日 星期四 下午3:10,,,90000,619,4463,5142,https://www.threads.com/@carrefourtaiwan/post/DUFq3ulEyl0,不要再打卡了 起不來,2026年1月29日 星期四 下午4:53,,,574,,1,5
brinicle3992,https://www.threads.com/@brinicle3992/post/DUFY87AErHH,自從我在家樂福拿到這個濕紙巾後 我的麥香終於不會再被偷喝了,2026年1月29日 星期四 下午2:16,,"Photo by Mon on January 28, 2026.",13000,136,168,1377,https://www.threads.com/@carrefourtaiwan/post/DUFqzGvE_bx,搭配週末9折帶回家！,2026年1月29日 星期四 下午4:52,,"Photo by 家樂福 | Carrefour on January 29, 2026.",7,2,1,
ilovekittysomuchyaa,https://www.threads.com/@ilovekittysomuchyaa/post/DUDdiheCRLJ,太依賴你的話我該怎麼辦,2026年1月28日 星期三 下午8:18,,"Photo by @ilovekittysomuchyaa on January 28, 2026. | Photo by @ilovekittysomuchyaa on January 28, 2026. | Photo by @ilovekittysomuchyaa on January 28, 2026. | Photo by @ilovekittysomuchyaa on January 28, 2026. | Photo by @ilovekittysomuchyaa on January 28, 2026. | Photo by @ilovekittysomuchyaa on January 28, 2026. | Photo by @ilovekittysomuchyaa on January 28, 2026. | Photo by @ilovekittysomuchyaa on January 28, 2026. | Photo by @ilovekittysomuchyaa on January 28, 2026.",40000,1166,2784,16000,https://www.threads.com/@carrefourtaiwan/post/DUFbvxFk_it,"阿福建議先吃顆橙子
因為洗澡有蒸汽 蒸橙才是你的必殺技",2026年1月29日 星期四 下午2:41,,"Photo by 家樂福 | Carrefour on January 28, 2026.",25,,,
kennylaiii,https://www.threads.com/@kennylaiii/post/DUA4hg-EiG0,"Alex Honnold
三層兩萬 有主委要加碼的嗎！ 1/2",2026年1月27日 星期二 下午8:21,,,21000,226,2430,13000,https://www.threads.com/@carrefourtaiwan/post/DUDWaDlEyK7,主委加碼 三層$308,2026年1月28日 星期三 下午7:16,,"Photo by 家樂福 | Carrefour on January 28, 2026.",14,1,,1
old_stone0_0,https://www.threads.com/@old_stone0_0/post/DUAiNf4jz5P,幹莫名其妙被嗆了,2026年1月27日 星期二 下午5:01,,"Photo by 古老的石頭 on January 27, 2026.",15000,77,623,3256,https://www.threads.com/@carrefourtaiwan/post/DUC04qzE09R,我們的限時很好買,2026年1月28日 星期三 下午2:23,,"Photo by 家樂福 | Carrefour on January 27, 2026.",40,2,,
ohhey.luna,https://www.threads.com/@ohhey.luna/post/DUQOJOlD4_R,"育兒生活
推薦若小孩口腔不適/食慾不振/腸病毒等 可以買家樂福這個布丁！ 「一顆雞蛋布丁」🍮 成分是我看過最單純的布丁 吃起來也微甜👍🏻
- 很常缺貨呦 我找三次才買到🤣",2026年2月2日 星期一 下午7:14,,"Photo by 晴𖤓☽˚.⋆ ᴸᵘⁿᵃ on February 02, 2026. May be an image of egg. | Photo by 晴𖤓☽˚.⋆ ᴸᵘⁿᵃ on February 02, 2026. May be an image of yogurt. | Photo by 晴𖤓☽˚.⋆ ᴸᵘⁿᵃ on February 02, 2026. May be an image of durian.",1797,61,50,1369,https://www.threads.com/@carrefourtaiwan/post/DUXk6uOEzAS,蛋是非籠飼的好🥚,2026年2月5日 星期四 下午3:47,,,332,4,,6
anthonycarter0887830,https://www.threads.com/@anthonycarter0887830/post/DUAftzzAaNd,這發明好絕啊，能阻止過年長胖 1 / 2,2026年1月27日 星期二 下午4:39,,"Photo by YaTing on January 27, 2026.",7873,83,91,4732,https://www.threads.com/@carrefourtaiwan/post/DUCVd9MkxLs,家裡的打不開，歡迎來我家買！,2026年1月28日 星期三 上午9:48,,,111,1,1,
