user_name,user_post_url,user_content,user_timestamp,user_replying_to,user_image_alts,user_likes,user_replies,user_reposts,user_shares,brand_reply_url,brand_reply_content,brand_reply_timestamp,brand_replying_to,brand_reply_image_alts,brand_reply_likes,brand_reply_replies,brand_reply_reposts,brand_reply_shares
william_chingte,https://www.threads.com/@william_chingte/post/DVkYZVTkdhH,滿貫砲！！！,2026年3月7日 星期六 上午11:39,,,58000,787,755,843,https://www.threads.com/@dominospizza_tw/post/DVkpjlREfT2,我也在看！今天骰到六🔥,2026年3月7日 星期六 下午2:09,,,31,,,
fkchiang,https://www.threads.com/@fkchiang/post/DVko163DD3m,通通吃爆,2026年3月7日 星期六 下午2:03,@dominospizza_tw,,2,1,,,https://www.threads.com/@dominospizza_tw/post/DVkpSRykcmp,泡菜豬吃爆！澳洲🦘再吃爆一次,2026年3月7日 星期六 下午2:07,,,1,,,
weng2120723,https://www.threads.com/@weng2120723/post/DVY8xrak0dN,"WBC經典賽台灣六六大順應援團,準備出發囉~",2026年3月3日 星期二 上午1:06,,"Photo by 翁啟逢 on March 02, 2026. May be an image of text. | Photo by 翁啟逢 on March 02, 2026. May be an image of one or more people and text.",47,1,,,https://www.threads.com/@dominospizza_tw/post/DVaMnYMEY6y,"Go
TeamTaiwan",2026年3月3日 星期二 下午12:44,,,3,,,
lifetea.tw,https://www.threads.com/@lifetea.tw/post/DVaBIpvknPw,"WBC2026
WBC世界棒球經典賽即將開打，全台進入應援模式！ 聽說對手很強？沒關係，我已經準備好了一桌壽司拼盤、拉麵和大阪燒， 每一口都是為了中華隊的勝利在努力！🇹🇼 吃得越飽應援越有力，一起為Team Taiwan集氣💪",2026年3月3日 星期二 上午11:04,,"Photo by 人生手搖飲 on March 02, 2026. May be an illustration of text that says '為了贏球 ，我願意把對手都吃下肚！ TAIWAN 中 華 隊 加 油 TPE 3: JPN TPE3:JPN1: 1 00 O 吃爆做法中..… Team Taiwan C 人生手搖飲'.",13,9,,,https://www.threads.com/@dominospizza_tw/post/DVaMhiVkTPZ,"好 吃爆
TeamTaiwan",2026年3月3日 星期二 下午12:43,,,1,1,,
news.ebc,https://www.threads.com/@news.ebc/post/DVaMEDJEn4s,"WBC
台灣全場狂敲9安！ 5比1擊退軟銀 WBC 熱身賽 1/2",2026年3月3日 星期二 下午12:39,,,100,3,1,2,https://www.threads.com/@dominospizza_tw/post/DVaMeK4EcMA,"Yes!!!!!
TeamTaiwan",2026年3月3日 星期二 下午12:43,,,5,,,
karus.life,https://www.threads.com/@karus.life/post/DVaKaR3kju9,衝,2026年3月3日 星期二 下午12:25,@dominospizza_tw衝讚1回覆1轉發分享,,1,1,,,https://www.threads.com/@dominospizza_tw/post/DVaLXaXkfIa,Go!,2026年3月3日 星期二 下午12:33,,,,,,
mtmtmt.tw,https://www.threads.com/@mtmtmt.tw/post/DVaIKW8EYNK,達美樂骰到 6 全民挺台灣 ！！,2026年3月3日 星期二 下午12:05,@dominospizza_tw達美樂骰到,"Photo by Wade on March 02, 2026. May be an image of baseball, pizza, napkin, placemat and text.",8,1,,,https://www.threads.com/@dominospizza_tw/post/DVaLWFVkd0r,挺！感動,2026年3月3日 星期二 下午12:33,,,4,,,
chiangyenchiang,https://www.threads.com/@chiangyenchiang/post/DVZ5Hqdktwe,66披薩又來了！！！,2026年3月3日 星期二 上午9:54,@dominospizza_tw66披薩又來了！！！讚4回覆1轉發分享,,4,1,,,https://www.threads.com/@dominospizza_tw/post/DVZ6QdrEfUg,"吃爆😎
TeamTaiwan
2026-3-2",2026年3月3日 星期二 上午10:04,,"Photo by 達美樂披薩 on March 01, 2026. May be an image of text that says 'Domino's 應援棒球套餐 3/2-3/8期間限定限量版售 ာဝ NepNEO Domino's Domino'sTEAMTAIWAN TEAM TAIWAN 百事可躁 限時 販售 限799 元 立即訂購 優惠代碼 優惠代碼831116 831116 ※本優惠按薩口味限！ 吃深四強」'.",2,1,,
jieling0522,https://www.threads.com/@jieling0522/post/DVYxEd9kolc,"2026 WBC
第一次單飛出國 獻給WBC！
東京，我來了 中華隊，我們現場見 🇹🇼⚾️
這趟不是旅行 是應援任務！",2026年3月2日 星期一 下午11:24,,"Photo by Jieling on March 02, 2026. May be an image of terminal and text.",2767,58,5,4,https://www.threads.com/@dominospizza_tw/post/DVZwKzAE-xn,🙌一起為台灣加油🤙🤙🤙,2026年3月3日 星期二 上午8:35,,,235,1,,
max.wang.xuan.lin,https://www.threads.com/@max.wang.xuan.lin/post/DVYwqUfiRZ9,我也準備好了,2026年3月2日 星期一 下午11:20,@dominospizza_tw我也準備好了讚1回覆1轉發分享,"Photo by 王璿霖MAX on March 02, 2026. May be an image of placemat, box and text.",1,1,,,https://www.threads.com/@dominospizza_tw/post/DVZwB91E98Y,🎲🤙🤙🤙🙌,2026年3月3日 星期二 上午8:34,,,,,,
antisky025,https://www.threads.com/@antisky025/post/DVYnw1PktKr,看棒球轉播，吃披薩🍕 非常適合,2026年3月2日 星期一 下午10:03,@dominospizza_tw看棒球轉播，吃披薩🍕,,1,1,,,https://www.threads.com/@dominospizza_tw/post/DVZv9YGk5jq,"吃爆😍
TeamTaiwan
2026-3-2",2026年3月3日 星期二 上午8:34,,"Photo by 達美樂披薩 on March 01, 2026. May be an image of text that says 'Domino's 應援棒球套餐 3/2-3/8期間限定限量版售 ာဝ NepNEO Domino's Domino'sTEAMTAIWAN TEAM TAIWAN 百事可躁 限時 販售 限799 元 立即訂購 優惠代碼 優惠代碼831116 831116 ※本優惠按薩口味限！ 吃深四強」'.",,,,
chiangyenchiang,https://www.threads.com/@chiangyenchiang/post/DVYwOXwEmcF,"TeamTaiwan
在日本能看到這 好感動 台灣加油
表参道駅",2026年3月2日 星期一 下午11:17,,,3408,18,48,73,https://www.threads.com/@dominospizza_tw/post/DVZvzWRE2ZJ,Team Taiwan🙌🥹🤙🤙🤙,2026年3月3日 星期二 上午8:32,,,714,1,,
ryan7050630,https://www.threads.com/@ryan7050630/post/DVNAI8IGK1U,用心支持台灣棒球的達美樂,2026年2月26日 星期四 上午9:45,@dominospizza_tw,"Photo by 李明曄 on February 25, 2026. May be an image of card, playing cards, mouse pad and text. | Photo by 李明曄 on February 25, 2026. May be an image of playing cards, crossword puzzle, card and text.",30,1,,,https://www.threads.com/@dominospizza_tw/post/DVNFfG2EdJZ,你還留著～～😭,2026年2月26日 星期四 上午10:32,,,7,1,,
ronahope33,https://www.threads.com/@ronahope33/post/DVJqE1SE-4O,一邊吃達美樂一邊看經典賽！幫Team Taiwan中華隊加油！,2026年2月25日 星期三 上午2:34,@dominospizza_tw,,1,1,,,https://www.threads.com/@dominospizza_tw/post/DVNFbZzEUAZ,好 我等你🫶,2026年2月26日 星期四 上午10:31,,,,,,
ldd.tea,https://www.threads.com/@ldd.tea/post/DVM23YOEsFs,我不相信連假前一大早有小編在那海巡 如果有趕緊在底下說我要放假🤭🤭,2026年2月26日 星期四 上午8:24,,,169,219,6,,https://www.threads.com/@dominospizza_tw/post/DVNFRi_ES4o,想午餐吃什麼,2026年2月26日 星期四 上午10:30,,,4,1,,
fuxinggao_taiwan,https://www.threads.com/@fuxinggao_taiwan/post/DRMZVLXk0zo,半價！你成功引起我的注意了！章魚燒披薩😎,2025年11月18日 星期二 下午6:00,@dominospizza_tw,,1,1,,,https://www.threads.com/@dominospizza_tw/post/DRM7l6VkU_p,來～～～～ 💕,2025年11月18日 星期二 下午11:00,,,,,,
on.the.mood_quotes,https://www.threads.com/@on.the.mood_quotes/post/DRL2T7jEq8A,我愛達美樂🫶,2025年11月18日 星期二 下午12:54,@dominospizza_tw,,1,1,,,https://www.threads.com/@dominospizza_tw/post/DRMTHkwESYC,我也愛你,2025年11月18日 星期二 下午5:06,,,2,,,
