user_name,user_post_url,user_content,user_timestamp,user_replying_to,user_image_alts,user_likes,user_replies,user_reposts,user_shares,brand_reply_url,brand_reply_content,brand_reply_timestamp,brand_replying_to,brand_reply_image_alts,brand_reply_likes,brand_reply_replies,brand_reply_reposts,brand_reply_shares
info.talk_tw,https://www.threads.com/@info.talk_tw/post/DXvrH7DmuMg,"勞動節優惠
小編幫大家收集21間勞動節優惠 摩斯漢堡、超商咖啡、飲料和各式甜點報給你～ 即時更新🫡🫡🫡 1 / 2",2026年4月30日 星期四 下午1:57,,"Photo by 好康情報誌 on April 29, 2026. May be an image of burger and text. | Photo by 好康情報誌 on April 29, 2026. May be an image of tea and text. | Photo by 好康情報誌 on April 29, 2026. May be an image of smoothie, tea and text. | Photo by 好康情報誌 on April 29, 2026. May be an image of calendar, poster, pie and text. | Photo by 好康情報誌 on April 29, 2026. May be an image of drink and text. | Photo by 好康情報誌 on April 29, 2026. May be an image of text. | Photo by 好康情報誌 on April 29, 2026. May be an image of drink, pomelo, mango and text that says 'nanafru 娜娜福 只有4天！ 第一段聯份 五一勢動節 不忙了， 忙了，芒著心動 芒著心動 第2杯半價 任選 5/1＿5/4° 五 5/1 5/4 咀曬 上市 清爽 上市 nanafru UICE nanafru SNOOTHIES SMOX JUICE'. | Photo by 好康情報誌 on April 29, 2026. May be an image of chicken and text that says '安 安 ANCO 炸雞 ANCOANCO NCO CHICKEN LABODAYSPECIAL LABOR DAY 勞工節特價！ SPECIAL"" SPECIAL 一年只有 這一天！ 卡拉炸雞翅飲料 飲料 只要 $51 $ 冰涼飲料 超搭！ 香酥多汁 一口滿足！ I, ANCO Bluest Bluesteeddelis ddelis មជ៊ 人氣熱銷 好評不斷！ 現炸美味 外酥内嫩！ GO ANGO CHE $ 超值優惠 只要$51! 任選35元冷飲 今日限定！ 數量有限，售完為止！ 數量有限 售完爲止！ 勞工辛苦了！ 吃好一點， 吃好一點,搞賞自己! 搞賞自己！ 07-3602006 7-36020060高雄市楠粹區大學西路236號 高雄市楠梓區大學西路236號'. | Photo by 好康情報誌 on April 29, 2026. May be an image of wafer and text.",60,3,4,55,https://www.threads.com/@familymart_tw/post/DXxwG3dnUen,我們還有咖啡茶飲買2送2🥰,2026年5月1日 星期五 上午9:19,,"Photo by 全家便利商店_台灣 on April 30, 2026. May be an image of cup, smoothie, tea and text.",15,1,,
motorman57,https://www.threads.com/@motorman57/post/DXtqFwiCa7N,"長毛臘腸
這全家店員走出來後態度不是很好欸，請問可以檢舉嗎？ 不能因為長的可愛就這樣啊 @familymart_tw 1 / 2",2026年4月29日 星期三 下午7:12,,,21000,144,601,2624,https://www.threads.com/@familymart_tw/post/DXxus0uHf8B,吼唷🥰💚💙,2026年5月1日 星期五 上午9:07,,,635,,,2
swedishfish,https://www.threads.com/@swedishfish/post/DXuJLQJGvPP,fish 翻譯,2026年4月29日 星期三 下午11:42,,,10000,2204,258,198,https://www.threads.com/@familymart_tw/post/DXwAF1QHQDG,Famiı̣ce,2026年4月30日 星期四 下午5:01,,,12,,,
sk_.0625,https://www.threads.com/@sk_.0625/post/DXtXDsekcWL,身邊一定有那種隨地大小唱的朋友,2026年4月29日 星期三 下午4:24,,,5193,63,457,967,https://www.threads.com/@familymart_tw/post/DXv7q54HYkJ,登登 登登登 登登登登登登～🎵 翻譯,2026年4月30日 星期四 下午4:22,,,408,2,,9
shopee_tw,https://www.threads.com/@shopee_tw/post/DXvds6aAMRR,青春沒有售價，再半天就放假 1 / 2,2026年4月30日 星期四 下午12:00,,,4213,268,211,327,https://www.threads.com/@familymart_tw/post/DXvi5qYnfVh,洛陽親友如相問，就說我在全家等,2026年4月30日 星期四 下午12:46,,,117,,1,1
yu5__13,https://www.threads.com/@yu5__13/post/DXs8IhYky9-,"金泰亨
金泰亨你知道我為了你買了8瓶可樂嗎",2026年4月29日 星期三 下午12:28,,"Photo by 鮭   👀 on April 28, 2026. May be an image of spatula and text. | Photo by 鮭   👀 on April 28, 2026. May be an image of lego, shelf and text.",2906,68,43,444,https://www.threads.com/@familymart_tw/post/DXvQkLdHfbI,我知道（但我是全家小編 💜💜💜,2026年4月30日 星期四 上午10:05,,,108,2,,1
morphyniao,https://www.threads.com/@morphyniao/post/DXtKKU3kexq,"全家積木
誰都不能阻止我擴大經營全家喵喵旗艦店😆 1 / 2",2026年4月29日 星期三 下午2:31,,"Photo by 莫菲裊萌葎 on April 28, 2026. May be an image of ‎lego and ‎text that says '‎구 소로 FamilyMart FamilyMart 全業 FamilyMart ح- Fami Calleciion CRFACTNR @MorPhyNiao‎'‎‎.",2789,82,56,1504,https://www.threads.com/@familymart_tw/post/DXtp8S6gZGZ,全家巨無霸貓貓店🐈‍⬛,2026年4月29日 星期三 下午7:09,,,222,1,,4
1996hannah,https://www.threads.com/@1996hannah/post/DXrf4GMAeWN,我同事的台式娃包！ 翻譯,2026年4月28日 星期二 下午11:02,,"Photo by 漢娜QQ on April 28, 2026. May be an image of purse, pouch and text.",100000,1037,2982,36000,https://www.threads.com/@familymart_tw/post/DXtmMcfgb17,留全家贈品採購看,2026年4月29日 星期三 下午6:36,,,4918,8,2,54
hantang.cafe,https://www.threads.com/@hantang.cafe/post/DXtBs17ANy1,"全家
這世界這麼癲了嗎 店員說他沒包手的 你吃吃看🤣",2026年4月29日 星期三 下午1:17,,,29,2,2,2,https://www.threads.com/@familymart_tw/post/DXtl6h6Ce_u,傳說的「包手師傅」 就在全家...,2026年4月29日 星期三 下午6:33,,,16,1,,
mirwugo,https://www.threads.com/@mirwugo/post/DXti_JEk7sT,告訴您一個聰明消費加購小秘密， 今天全家酷碰券這張南非國寶茶可以配合活動， FMC飲料（單價25/瓶）以上， 購買3瓶可以+59元加購全家場景積木喲~ 用券您可以不用花到75元就能加購到，是不是划呀,2026年4月29日 星期三 下午6:08,,"Photo by 米兒wuGo on April 29, 2026. May be an image of juice, water filter, water bottle, lego and text. | Photo by 米兒wuGo on April 29, 2026. May be an image of ‎bread and ‎text that says '‎FamilyMart Mart Fami Collection FMC買一送一超好康_第一波 第一波 A ث 国 月 老商理研奏司 S d哈 M F 県買1送1 限時限量搶券 活動時間 2026/04/29- 活動時間2026/04/29-2026/05/05 2026/05/05 兌換時間 間2026/04/29-2026/05/12 2026/04/29 2026/05/12 活動還剩 活動遭剩7天 7天 天 [領取成功將於24小時内匯入【階碰券]中 FMC南非國寶茶買一 送一（原價:30元） 30元） 還剩24357張 張 還剩 24357 已 領 券 日か域耐通み社 36 REESEN F 經典鹹甜爆米花買一送 一（原價:39元） 還剩24082張 還剩 24082 已 領 券‎'‎‎.",151,21,9,91,https://www.threads.com/@familymart_tw/post/DXtl0_2CQVw,等等！這太聰明🥸❤️,2026年4月29日 星期三 下午6:33,,,29,1,,1
