user_name,user_post_url,user_content,user_timestamp,user_replying_to,user_image_alts,user_likes,user_replies,user_reposts,user_shares,brand_reply_url,brand_reply_content,brand_reply_timestamp,brand_replying_to,brand_reply_image_alts,brand_reply_likes,brand_reply_replies,brand_reply_reposts,brand_reply_shares
jia.18____,https://www.threads.com/@jia.18____/post/DXi_4bZEhN_,想要外星人👽,2026年4月25日 星期六 下午3:49,@ikea_taiwan,,,1,,,https://www.threads.com/@ikea_taiwan/post/DXnpFuhk_Yq,"帶外星人跟娃包回家 lihi3.me/qoOZi
ikea.com.tw
AFTONSPARV - 填充玩具, 微型外星人/綠色, 10 公分 | IKEA 線上購物",2026年4月27日 星期一 上午11:06,,"AFTONSPARV - 填充玩具, 微型外星人/綠色, 10 公分 | IKEA 線上購物",1,1,,
ashleechiuuu,https://www.threads.com/@ashleechiuuu/post/DXmDmx5iauz,請問內湖獲得點數能在城市店兌換嗎🥹,2026年4月26日 星期日 下午8:19,@ikea_taiwan,,,1,,,https://www.threads.com/@ikea_taiwan/post/DXnobjrk6B1,"可以喔！ 活動詳情可以看官網喔 lihi3.me/3Bbtm
ikea.com.tw
IKEA集娃娃包 - 消費1元集1點換限量造型娃娃包 | IKEA線上購物",2026年4月27日 星期一 上午11:00,,,1,,,
jamelin____,https://www.threads.com/@jamelin____/post/DXni2mXmSfF,官網線上購物可以累積點數嗎？,2026年4月27日 星期一 上午10:11,@ikea_taiwan,,,1,,,https://www.threads.com/@ikea_taiwan/post/DXnmdEykyw-,"線上購物可以！記得要報卡友～ 活動詳情可以看官網> lihi3.me/3Bbtm
ikea.com.tw
IKEA集娃娃包 - 消費1元集1點換限量造型娃娃包 | IKEA線上購物",2026年4月27日 星期一 上午10:43,,,,,,
rrrrita.506,https://www.threads.com/@rrrrita.506/post/DXdp2Eukh5M,這個外星人寶寶超小😭可以裝誰,2026年4月23日 星期四 下午2:00,@ikea_taiwan,,,2,,,https://www.threads.com/@ikea_taiwan/post/DXeVCOpk3kG,娃包尺寸是10x13x5公分 10公分娃放進去沒問題！,2026年4月23日 星期四 下午8:17,,,2,,,1
tuei_cosplay,https://www.threads.com/@tuei_cosplay/post/DXdyACWj-tQ,想問問餐飲消費也能集點嗎...!,2026年4月23日 星期四 下午3:11,@ikea_taiwan,,2,1,,3,https://www.threads.com/@ikea_taiwan/post/DXd_xIADg3u,可以喔！記得結帳時要報卡友才能集點,2026年4月23日 星期四 下午5:11,,,4,,,
setsuna.nn,https://www.threads.com/@setsuna.nn/post/DXdveZLk7a3,用餐也可以計入點數對嗎🥺？,2026年4月23日 星期四 下午2:49,@ikea_taiwan,,3,1,,,https://www.threads.com/@ikea_taiwan/post/DXd_SwmDsOT,可以喔！記得結帳時要報卡友才能集點～,2026年4月23日 星期四 下午5:07,,,1,,,
hyde701981,https://www.threads.com/@hyde701981/post/DXdgk8XCYXH,請問餐廳消費也能集點嗎？🥺,2026年4月23日 星期四 下午12:39,@ikea_taiwan,,,1,,,https://www.threads.com/@ikea_taiwan/post/DXd_GkMjmSQ,可以喔！記得結帳時要報卡友才能集點喔！,2026年4月23日 星期四 下午5:06,,,2,,,
kevin19990704,https://www.threads.com/@kevin19990704/post/DXdhyJSE6gW,最近好像沒有需要買的東西 感覺該問家人有沒有要了 幫他們買然後我賺娃包,2026年4月23日 星期四 下午12:49,@ikea_taiwan,,1,1,,1,https://www.threads.com/@ikea_taiwan/post/DXdjQ_TExnO,"真是聰明蛋 記得要加入卡友喔 lihi3.me/3Bbtm
ikea.com.tw
IKEA集娃娃包 - 消費1元集1點換限量造型娃娃包 | IKEA線上購物",2026年4月23日 星期四 下午1:02,,,,1,,1
jps.tw,https://www.threads.com/@jps.tw/post/DXdfCuUESO_,什麼什麼什麼,2026年4月23日 星期四 下午12:25,@ikea_taiwan,"Photo by 嘉沛鮮羊乳 on April 22, 2026. May be an image of text. | Photo by 嘉沛鮮羊乳 on April 22, 2026. May be an image of milk, yogurt, hand cream and text. | Photo by 嘉沛鮮羊乳 on April 22, 2026. May be an image of toy, christmas tree and text.",49,2,,2,https://www.threads.com/@ikea_taiwan/post/DXdfVHjEwr5,"外星人寶寶你該來IKEA了 lihi3.me/3Bbtm
ikea.com.tw
IKEA集娃娃包 - 消費1元集1點換限量造型娃娃包 | IKEA線上購物",2026年4月23日 星期四 下午12:28,,,9,2,,2
___x__i__u___,https://www.threads.com/@___x__i__u___/post/DXdeeQrAdBk,超級可愛耶！但不能直購。🥲,2026年4月23日 星期四 下午12:21,@ikea_taiwan,,146,1,,3,https://www.threads.com/@ikea_taiwan/post/DXdey2WEwIo,帶著寶寶來IKEA買被被也很溫馨呀,2026年4月23日 星期四 下午12:23,,,37,,,1
