user_name,user_post_url,user_content,user_timestamp,user_replying_to,user_image_alts,user_likes,user_replies,user_reposts,user_shares,brand_reply_url,brand_reply_content,brand_reply_timestamp,brand_replying_to,brand_reply_image_alts,brand_reply_likes,brand_reply_replies,brand_reply_reposts,brand_reply_shares
zx_.217,https://www.threads.com/@zx_.217/post/DXt0iO1D7hj,"
有恩瑟🫵🏻😭",2026年4月29日 星期三 下午8:41,@netflixtw,"May be an image of one or more people, bangs, hat, top and text that says '[BAE] [ BAE 우와 우와법이다 뱀이다'",52,1,0,0,https://www.threads.com/@netflixtw/post/DXt2-J9E_Gu,Bae嚇到,2026年4月29日 星期三 下午9:02,,,25,1,0,0
1698_513,https://www.threads.com/@1698_513/post/DXr3TQ4AY6J,"有沒有離職適合傳的嘲諷圖
離職人是我本人
求拜託 我現在就想要傳
把相簿裡白癡圖都發上來",2026年4月29日 星期三 上午2:27,,,13000,650,1262,8224,https://www.threads.com/@netflixtw/post/DXtpw3XE_i0,"這種需求還真是讓人羨慕
netflixtw",2026年4月29日 星期三 下午7:07,,,240,3,4,5
rrich.m045,https://www.threads.com/@rrich.m045/post/DXrijU8EttY,"我真的要笑死 八點檔跟太快了吧
連逐玉的武安侯都有了🤣
那兩根我真的要笑瘋",2026年4月28日 星期二 下午11:26,,,16000,287,596,16000,https://www.threads.com/@netflixtw/post/DXstjO8E1qg,殺豬刀真的要拿出來了,2026年4月29日 星期三 上午10:21,,,2202,7,0,46
thuglife_1298,https://www.threads.com/@thuglife_1298/post/DXrVpUpETpU,"不提到「雨」
怎麼形容雨很大",2026年4月28日 星期二 下午9:33,,,20000,2092,196,781,https://www.threads.com/@netflixtw/post/DXspZtoE3nm,"Swim, swim. Water falling off your skin.",2026年4月29日 星期三 上午9:45,,,1297,2,9,9
wei_x.o7,https://www.threads.com/@wei_x.o7/post/DXrj-L9D5n6,四個人加起來湊不到20,2026年4月28日 星期二 下午11:38,,"May be an image of studying, floor plan, clipboard, calendar, crossword puzzle and text",23000,397,567,3887,https://www.threads.com/@netflixtw/post/DXsi3Mkk_Ao,"那再考一題
netflixtw
乩身
2026-4-17
太子爺可以陪我去找文昌帝君一下嗎",2026年4月29日 星期三 上午8:47,,,96,9,14,1
npm_south,https://www.threads.com/@npm_south/post/DXrXzzTCXB5,"
我來露個臉",2026年4月28日 星期二 下午9:52,@netflixtw,"May be an image of bust, sculpture, statue and text",567,14,2,0,https://www.threads.com/@netflixtw/post/DXshi1Fkzmy,就算我還有其他位男神，也會寬容地接受,2026年4月29日 星期三 上午8:36,,,5,0,0,0
p_t0621,https://www.threads.com/@p_t0621/post/DXnBNOVkvZB,"當有人跟你說「我要睡覺了」，千萬不要直接說「晚安」，試試以下方法，高情商聊天暖它一整天。
學霸型：ok,有什麼不會睡的問我
疑問型：這是通知還是邀請
恐嚇型：不打算和床下的我說晚安嗎
傲嬌型：不睡我懷裡和我報備什麼
高冷型：誰問了
挑逗型：一個人睡的明白嗎，過來我教你
考公型：人民睡了嗎你就睡
哲理型：生命因何沈睡
反駁型：為什麼一定要睡覺？
關心型：怕黑嗎？
導師型：你這個年齡怎麼睡得著的？
歐虧型：OK啊，那你也是直接給我睡覺了好吧",2026年4月27日 星期一 上午5:17,,,17000,646,1761,11000,https://www.threads.com/@netflixtw/post/DXrH1uCk-PB,舍監型：我看完一集後會再回來檢查喔,2026年4月28日 星期二 下午7:32,,,822,2,5,24
painpainkillers,https://www.threads.com/@painpainkillers/post/DXoYJYsE_YJ,為什麼你們都有曖昧大象,2026年4月27日 星期一 下午5:57,,,40000,746,2662,4870,https://www.threads.com/@netflixtw/post/DXqq6R7E8Zb,不好意思，你說哪隻？,2026年4月28日 星期二 下午3:19,,"May be a cartoon of elephant, rhinoceros, poster and text",2226,2,6,28
ultron.meta,https://www.threads.com/@ultron.meta/post/DXotmnfEhEY,"
《乩身》可以去打爆《奪願許願》裡的惡靈👊",2026年4月27日 星期一 下午9:04,@netflixtw,,6,1,0,1,https://www.threads.com/@netflixtw/post/DXpEIMLk2wR,三太子可能會要你罰寫是奪命許願,2026年4月28日 星期二 上午12:21,,,11,1,0,0
instagram,https://www.threads.com/@instagram/post/DXot9nzlhTV,your monday energy in one emoji. go ⬇️,2026年4月27日 星期一 下午9:08,,,4086,2344,166,203,https://www.threads.com/@netflixtw/post/DXpDrgRE0yB,,2026年4月28日 星期二 上午12:17,,,32,0,0,0
