user_name,user_post_url,user_content,user_timestamp,user_replying_to,user_image_alts,user_likes,user_replies,user_reposts,user_shares,brand_reply_url,brand_reply_content,brand_reply_timestamp,brand_replying_to,brand_reply_image_alts,brand_reply_likes,brand_reply_replies,brand_reply_reposts,brand_reply_shares
1996hannah,https://www.threads.com/@1996hannah/post/DXrf4GMAeWN,我同事的台式娃包！,2026年4月28日 星期二 下午11:02,,"May be an image of purse, pouch and text",56000,669,1814,23000,https://www.threads.com/@shopee_tw/post/DXtRclAkylP,我都背這個來上班,2026年4月29日 星期三 下午3:35,,"May be an image of duckling, toy, plastic bag, sling and text",151,2,0,4
san_13613,https://www.threads.com/@san_13613/post/DXrXweYiQNU,"我真的會被笑死ㄟ🤣🤣🤣🤣🤣
一開始看不懂，想通之後真的是笑到嘿菇🤣🤣🤣🤣",2026年4月28日 星期二 下午9:51,,May be an image of ticket stub and text that says '誰 殺、 喜 し C ? 看這裡 你一個小秘密 包裹數 1 ST 於5分鐘内重新幸到員 龍 Χη 於5分鐘内重新 青聯絡蝦皮客服 秋 喜',48000,618,2539,19000,https://www.threads.com/@shopee_tw/post/DXru8e-kxqL,半夜海巡到自己的爛笑話。。。,2026年4月29日 星期三 上午1:14,,,3825,7,1,30
museacg,https://www.threads.com/@museacg/post/DXq86PyEc3M,,2026年4月28日 星期二 下午5:57,@shopee_tw,May be an image of text,1209,13,5,5,https://www.threads.com/@shopee_tw/post/DXrErfUE1jn,,2026年4月28日 星期二 下午7:05,,,101,1,1,1
luby980508,https://www.threads.com/@luby980508/post/DXob9N_kQmz,"蝦皮皮現在這麼大方嗎？
￼買包裝袋送蘋果手機🥴",2026年4月27日 星期一 下午7:11,,,75000,1250,741,11000,https://www.threads.com/@shopee_tw/post/DXq_W_fk8AI,,2026年4月28日 星期二 下午6:18,,,4910,2,6,22
museacg,https://www.threads.com/@museacg/post/DXq3EGRkZeR,你知道這是費倫心情好還是不好時綁出來的麻花辮嗎？,2026年4月28日 星期二 下午5:06,,"May be an anime-style image of text that says '※画像はイメージです。' | May be an anime-style image of toy and text that says '※画像はイメージです。 ※画像はイ' | May be an anime-style image of text | May be an anime-style image of doll, miniskirt and text that says '※画像はイメージです。 です。' | May be an anime-style image of doll and text that says '※画像はイメージです。' | May be an anime-style image of toy and text | May be an anime-style image of doll and text | May be an anime-style image of toy and text | May be an anime-style image of text",2816,14,51,143,https://www.threads.com/@shopee_tw/post/DXq_THlk5zw,好漂亮,2026年4月28日 星期二 下午6:17,,,106,1,1,1
museacg,https://www.threads.com/@museacg/post/DXf9dHFkTZm,"追蹤museacg 更多這是橘子泰迪熊研究社所做出來的嗎⋯⋯🤔 讚1 萬回覆69 分享2,216",2026年4月24日 星期五 上午11:30,,May be an image of toy and text | May be an image of toy and text,,,,,https://www.threads.com/@shopee_tw/post/DXggRdSE18a,追蹤shopee_tw已驗證 原作者說讚更多我買了一個送你🫪讚478 轉發分享4,2026年4月24日 星期五 下午4:34,,,,,,
yoona_lalala_,https://www.threads.com/@yoona_lalala_/post/DXgTKYjEv5k,已驗證 已編輯原作者說讚更多,2026年4月24日 星期五 下午2:39,,,0,0,0,0,https://www.threads.com/@shopee_tw/post/DXgeHolk8AI,追蹤shopee_tw已驗證 更多追星人一定都認得出來的樓梯讚93回覆轉發分享,2026年4月24日 星期五 下午4:15,,,,,,
kssogo.tw,https://www.threads.com/@kssogo.tw/post/DXgC7iFCTd0,追蹤kssogo.tw 原作者說讚更多正在回覆@shopee_tw緩～光臨🥰讚335 轉發分享,2026年4月24日 星期五 下午12:18,,May be a cartoon of toy and text,,,,,https://www.threads.com/@shopee_tw/post/DXgeBRhk1_d,追蹤shopee_tw已驗證 更多請問今天有折扣嗎讚123 轉發分享2,2026年4月24日 星期五 下午4:14,,,,,,
momokids_channel,https://www.threads.com/@momokids_channel/post/DXgDevPiV3B,追蹤momokids_channel 原作者說讚更多正在回覆@shopee_tw蝦蝦要不要乃找我玩？～💞😗讚441 轉發分享4,2026年4月24日 星期五 下午12:22,,"May be a cartoon of ‎toy, minions and ‎text that says '‎د মम F ብርርያ ללביר ร S 蝦皮睛物‎'‎‎",,,,,https://www.threads.com/@shopee_tw/post/DXgd8EyE3sp,追蹤shopee_tw已驗證 原作者說讚更多你好MO....M..讚166 轉發分享,2026年4月24日 星期五 下午4:14,,,,,,
xx_0_4,https://www.threads.com/@xx_0_4/post/DXgEEbSlInR,追蹤xx_0_4 原作者說讚更多正在回覆@shopee_tw那把你煮來吃好了讚648 轉發1,2026年4月24日 星期五 下午12:28,,"May be an image of hot pot, vegetable, pot and text that says 'S 蝦皮睛物'",,,,,https://www.threads.com/@shopee_tw/post/DXgQprDE_-4,追蹤shopee_tw已驗證 原作者說讚更多是這樣沒錯但不是這樣讚257回覆轉發分享,2026年4月24日 星期五 下午2:17,,,,,,
